city,date,X1_temperature_2m_C,X2_relative_humidity_2m_pct,X3_surface_pressure_hPa,X4_wind_speed_10m_kmh,X5_cloud_cover_pct,Y_apparent_temperature_C
Raleigh,20-02-2020,6.3,49,1015,14.2,100,1.7
Raleigh,21-02-2020,0.2,50,1018.9,16.9,0,-4.5
Raleigh,22-02-2020,7.7,40,1017.2,5.8,0,5.2
Raleigh,23-02-2020,13.6,42,1011.4,9.2,35,11.3
Raleigh,24-02-2020,10.8,68,1006,6.9,100,8.6
Raleigh,25-02-2020,16.4,83,997,16.6,100,15
Raleigh,26-02-2020,17.4,75,997.1,9.5,100,16.9
Raleigh,27-02-2020,7.4,38,1002.3,23.8,14,2
Raleigh,28-02-2020,9.1,40,1003.7,15.3,29,5.2
Raleigh,29-02-2020,7.3,43,1004.2,21.9,100,1.7
Raleigh,01-03-2020,9.5,35,1012.8,4.7,41,7.4
Raleigh,02-03-2020,16.7,40,1006,18.3,99,13.4
Raleigh,03-03-2020,17.6,81,995.9,21.4,100,15.9
Raleigh,04-03-2020,15.2,39,1002.9,4.5,100,12.7
Raleigh,05-03-2020,11,58,1007.5,10.5,100,7.9
Raleigh,06-03-2020,13.4,41,997.4,20.7,0,8.8
Raleigh,07-03-2020,9.2,38,1015,20.4,95,3.6
Raleigh,08-03-2020,12.7,36,1023.1,6.8,0,10.7
Raleigh,09-03-2020,17.3,46,1020.9,16.4,100,15
Raleigh,10-03-2020,19.2,65,1012.6,19.8,100,17.1
Raleigh,11-03-2020,21.2,59,1004.7,8.9,100,21.9
Raleigh,12-03-2020,19.7,67,1003.7,4.5,6,21.1
Raleigh,13-03-2020,22.2,72,1003.2,14.5,100,22.6
Raleigh,14-03-2020,17.8,29,1014.8,8.4,63,15.2
Raleigh,15-03-2020,14.8,49,1014.2,15.3,100,11.9
Raleigh,16-03-2020,14.2,42,1016.3,10,66,12
Raleigh,17-03-2020,16.5,68,1010,15.7,100,14.4
Raleigh,18-03-2020,17.6,62,1016.1,11.2,100,16.1
Raleigh,19-03-2020,23.6,65,1011.5,12.1,75,24.1
Raleigh,20-03-2020,27.3,54,1009.2,22.5,92,27.7
Raleigh,21-03-2020,20.6,82,1009.5,8.8,50,22
Raleigh,22-03-2020,13.2,49,1017.4,15.3,96,9.3
Raleigh,23-03-2020,9.3,90,1010,4.4,100,8.1
Raleigh,24-03-2020,18.6,55,1006.4,6,100,18.5
Raleigh,25-03-2020,13.3,74,997.4,17.8,100,10.4
Raleigh,26-03-2020,13.4,65,1006.5,2.1,97,12.7
Raleigh,27-03-2020,23.4,61,1000,11,100,24.6
Raleigh,28-03-2020,27.4,61,1000.6,10.5,72,30.8
Raleigh,29-03-2020,28.2,57,1000.4,16.7,96,30.2
Raleigh,30-03-2020,21.3,32,1003.7,7.7,29,18.8
Raleigh,31-03-2020,13.8,52,997.9,15.4,100,10.1
Raleigh,01-04-2020,10.4,58,997.1,19.3,100,5.9
Raleigh,02-04-2020,15.5,34,1001.6,19,0,11.6
Raleigh,03-04-2020,18.4,24,999.7,17.8,0,15.2
Raleigh,04-04-2020,19.1,36,1002.4,8.7,6,18.4
Raleigh,05-04-2020,19.5,46,1006.2,5,0,20.2
Raleigh,06-04-2020,25.5,40,1003.9,5.3,7,26.9
Raleigh,07-04-2020,27.6,33,1000.8,8.5,100,28.3
Raleigh,08-04-2020,27.5,40,993.6,9.2,10,29
Raleigh,09-04-2020,26.2,40,985.9,23.5,27,24.9
Raleigh,10-04-2020,13.6,21,996.8,24.4,0,8.7
Raleigh,11-04-2020,16.2,23,1006.1,8.3,0,14.5
Raleigh,12-04-2020,22.6,48,1007,21.5,95,19.8
Raleigh,13-04-2020,24.3,56,992.5,34.7,36,20.9
Raleigh,14-04-2020,20.8,43,1003.6,6.2,0,21.5
Raleigh,15-04-2020,10.8,42,1004.2,15.6,0,8
Raleigh,16-04-2020,16.5,30,1009.7,15.9,1,13.9
Raleigh,17-04-2020,20.2,29,1010.4,15.5,55,18.2
Raleigh,18-04-2020,16.9,55,998.3,24.1,1,13.8
Raleigh,19-04-2020,20,53,1001,9.8,100,18.7
Raleigh,20-04-2020,11.6,88,990.4,19.5,100,8.7
Raleigh,21-04-2020,22.6,41,992.9,21.4,94,20.3
